798, 611224452, 1, 4096, 0
897, 673107281, 1, 4096, 0
922, 663349015, 1, 4096, 0
953, 663853461, 1, 4096, 0
991, 681855757, 1, 4096, 0
1022, 694327639, 1, 4096, 0
1034, 690720306, 1, 4096, 0
1053, 702215263, 1, 4096, 0
1067, 680348516, 1, 4096, 0
1085, 679019877, 1, 4096, 0
1094, 674179102, 1, 4096, 0
1113, 685889920, 1, 4096, 0
1127, 680382378, 1, 4096, 0
1142, 684831085, 1, 4096, 0
1157, 698218459, 1, 4096, 0
1169, 693885825, 1, 4096, 0
1182, 695258914, 1, 4096, 0
1201, 702210068, 1, 4096, 0
1213, 694198181, 1, 4096, 0
1229, 703373988, 1, 4096, 0
1245, 703622415, 1, 4096, 0
1269, 725826990, 1, 4096, 0
1286, 726745978, 1, 4096, 0
1294, 714807311, 1, 4096, 0
1318, 718349115, 1, 4096, 0
1334, 718981620, 1, 4096, 0
1353, 707490259, 1, 4096, 0
1366, 719041054, 1, 4096, 0
1381, 701520626, 1, 4096, 0
1393, 682382479, 1, 4096, 0
1406, 668054439, 1, 4096, 0
1425, 675112675, 1, 4096, 0
1437, 550640994, 1, 4096, 0
1449, 538542702, 1, 4096, 0
1462, 523728597, 1, 4096, 0
1482, 493218759, 1, 4096, 0
1497, 475630906, 1, 4096, 0
1509, 475717411, 1, 4096, 0
1522, 475241934, 1, 4096, 0
1549, 483315053, 1, 4096, 0
1573, 498352611, 1, 4096, 0
1593, 499634002, 1, 4096, 0
1605, 498565577, 1, 4096, 0
1618, 503167914, 1, 4096, 0
1638, 503966137, 1, 4096, 0
1652, 502258216, 1, 4096, 0
1665, 506084606, 1, 4096, 0
1678, 495929377, 1, 4096, 0
1694, 503081110, 1, 4096, 0
1714, 501380781, 1, 4096, 0
1728, 513356607, 1, 4096, 0
1741, 495885825, 1, 4096, 0
1753, 484998401, 1, 4096, 0
1773, 502814803, 1, 4096, 0
1793, 499455598, 1, 4096, 0
1805, 498794126, 1, 4096, 0
1818, 484796423, 1, 4096, 0
1852, 510295874, 1, 4096, 0
1866, 499678253, 1, 4096, 0
1882, 507184297, 1, 4096, 0
1901, 518245729, 1, 4096, 0
